department,date,value
CALDAS,6/23/2019,0
CAQUETA,6/23/2019,0
CASANARE,6/23/2019,0
CAUCA,6/23/2019,1
CESAR,6/23/2019,0
CHOCO,6/23/2019,0
CORDOBA,6/23/2019,0
CUNDINAMARCA,6/23/2019,0
GUAINIA,6/23/2019,0
GUAVIARE,6/23/2019,0
HUILA,6/23/2019,0
LA GUAJIRA,6/23/2019,1
MAGDALENA,6/23/2019,0
META,6/23/2019,0
NARIÑO,6/23/2019,1
NORTE SANTANDER,6/23/2019,0
PUTUMAYO,6/23/2019,0
RISARALDA,6/23/2019,0
SANTANDER,6/23/2019,0
SUCRE,6/23/2019,0
TOLIMA,6/23/2019,0
VALLE DEL CAUCA,6/23/2019,0
VAUPES,6/23/2019,0
VICHADA,6/23/2019,0
AMAZONAS,6/30/2019,0
ANTIOQUIA,6/30/2019,0
ARAUCA,6/30/2019,0
ATLANTICO,6/30/2019,1
BOGOTA,6/30/2019,0
BOLIVAR,6/30/2019,1
BOYACA,6/30/2019,0
CALDAS,6/30/2019,0
CAQUETA,6/30/2019,0
CASANARE,6/30/2019,0
CAUCA,6/30/2019,0
CESAR,6/30/2019,0
CHOCO,6/30/2019,0
CORDOBA,6/30/2019,0
CUNDINAMARCA,6/30/2019,0
GUAINIA,6/30/2019,0
GUAVIARE,6/30/2019,0
HUILA,6/30/2019,0
LA GUAJIRA,6/30/2019,0
MAGDALENA,6/30/2019,0
META,6/30/2019,1
NARIÑO,6/30/2019,0
NORTE SANTANDER,6/30/2019,0
PUTUMAYO,6/30/2019,0
RISARALDA,6/30/2019,0
SANTANDER,6/30/2019,0
SUCRE,6/30/2019,0
TOLIMA,6/30/2019,0
VALLE DEL CAUCA,6/30/2019,2
VAUPES,6/30/2019,0
VICHADA,6/30/2019,0
AMAZONAS,7/7/2019,0
ANTIOQUIA,7/7/2019,0
ARAUCA,7/7/2019,0
ATLANTICO,7/7/2019,3
BOGOTA,7/7/2019,0
BOLIVAR,7/7/2019,1
BOYACA,7/7/2019,1
CALDAS,7/7/2019,0
CAQUETA,7/7/2019,0
CASANARE,7/7/2019,0
CAUCA,7/7/2019,0
CESAR,7/7/2019,0
CHOCO,7/7/2019,0
CORDOBA,7/7/2019,0
CUNDINAMARCA,7/7/2019,0
GUAINIA,7/7/2019,0
GUAVIARE,7/7/2019,0
HUILA,7/7/2019,0
LA GUAJIRA,7/7/2019,1
MAGDALENA,7/7/2019,0
META,7/7/2019,0
NARIÑO,7/7/2019,0
NORTE SANTANDER,7/7/2019,0
PUTUMAYO,7/7/2019,0
RISARALDA,7/7/2019,0
SANTANDER,7/7/2019,0
SUCRE,7/7/2019,0
TOLIMA,7/7/2019,0
VALLE DEL CAUCA,7/7/2019,1
VAUPES,7/7/2019,0
VICHADA,7/7/2019,0
AMAZONAS,7/14/2019,0
