Date,AMAZONAS,ANTIOQUIA,ARAUCA,ATLANTICO,BOGOTA,BOLIVAR,BOYACA,CALDAS,CAQUETA,CASANARE,CAUCA,CESAR,CHOCO,CORDOBA,CUNDINAMARCA,GUAINIA,GUAVIARE,HUILA,LA GUAJIRA,MAGDALENA,META,NARIÑO,NORTE SANTANDER,PUTUMAYO,QUINDIO,RISARALDA,SAN ANDRES,SANTANDER,SUCRE,TOLIMA,VALLE DEL CAUCA,VAUPES,VICHADA
9/8/2019,0,18,3,8,17,9,6,0,1,1,5,4,3,8,6,0,0,5,10,7,4,11,6,0,3,2,0,6,7,6,16,1,0
9/15/2019,0,24,3,7,33,9,2,1,3,0,3,5,5,10,5,0,0,2,16,6,2,4,3,1,1,1,0,6,4,3,13,0,1
9/22/2019,1,19,0,11,25,5,4,2,1,0,10,9,3,10,7,1,0,5,8,6,4,2,7,0,2,2,0,4,5,5,6,2,1
9/29/2019,1,19,1,8,24,6,0,0,3,1,7,8,2,8,7,0,0,6,8,3,3,3,4,2,1,6,0,1,3,4,14,0,0
10/6/2019,0,29,1,9,20,8,0,1,0,2,5,4,6,11,17,0,0,5,12,4,2,4,5,1,1,2,1,1,5,3,14,0,1
10/13/2019,0,20,2,5,24,6,1,2,4,2,2,6,1,9,5,0,0,3,4,5,1,5,7,0,1,3,0,7,2,2,10,0,0
10/20/2019,1,23,0,7,25,7,0,2,1,1,1,6,4,6,9,0,0,5,11,1,5,5,4,1,1,1,0,4,7,2,8,0,0
10/27/2019,0,15,2,8,30,5,6,2,3,1,5,6,1,7,5,0,0,2,7,4,0,4,4,2,1,1,0,8,1,4,15,0,0
11/3/2019,0,19,0,11,30,8,1,2,1,1,8,4,3,4,10,0,0,0,7,5,2,2,2,0,1,4,0,3,4,5,11,1,2
11/10/2019,0,17,0,13,25,2,2,2,2,0,4,10,3,11,11,0,0,5,12,7,3,5,3,1,0,1,0,7,7,2,10,0,0
11/17/2019,1,14,1,8,18,2,0,3,0,1,6,10,2,8,5,0,1,2,12,6,2,5,9,1,2,0,1,6,4,4,8,0,0
