department,date,value
QUINDIO,10/20/2019,1
RISARALDA,10/20/2019,1
SAN ANDRES,10/20/2019,0
SANTANDER,10/20/2019,4
SUCRE,10/20/2019,7
TOLIMA,10/20/2019,2
VALLE DEL CAUCA,10/20/2019,8
VAUPES,10/20/2019,0
VICHADA,10/20/2019,0
AMAZONAS,10/27/2019,0
ANTIOQUIA,10/27/2019,15
ARAUCA,10/27/2019,2
ATLANTICO,10/27/2019,15
BOGOTA,10/27/2019,30
BOLIVAR,10/27/2019,8
BOYACA,10/27/2019,6
CALDAS,10/27/2019,2
CAQUETA,10/27/2019,3
CASANARE,10/27/2019,1
CAUCA,10/27/2019,5
CESAR,10/27/2019,6
CHOCO,10/27/2019,1
CORDOBA,10/27/2019,7
CUNDINAMARCA,10/27/2019,5
GUAINIA,10/27/2019,0
GUAVIARE,10/27/2019,0
HUILA,10/27/2019,2
LA GUAJIRA,10/27/2019,7
MAGDALENA,10/27/2019,7
META,10/27/2019,0
NARIÑO,10/27/2019,4
NORTE SANTANDER,10/27/2019,4
PUTUMAYO,10/27/2019,2
QUINDIO,10/27/2019,1
RISARALDA,10/27/2019,1
SAN ANDRES,10/27/2019,0
SANTANDER,10/27/2019,8
SUCRE,10/27/2019,1
TOLIMA,10/27/2019,4
VALLE DEL CAUCA,10/27/2019,18
VAUPES,10/27/2019,0
VICHADA,10/27/2019,0
AMAZONAS,11/3/2019,0
ANTIOQUIA,11/3/2019,19
ARAUCA,11/3/2019,0
ATLANTICO,11/3/2019,16
BOGOTA,11/3/2019,30
BOLIVAR,11/3/2019,14
BOYACA,11/3/2019,1
CALDAS,11/3/2019,2
CAQUETA,11/3/2019,1
CASANARE,11/3/2019,1
CAUCA,11/3/2019,8
CESAR,11/3/2019,4
CHOCO,11/3/2019,3
CORDOBA,11/3/2019,4
CUNDINAMARCA,11/3/2019,10
GUAINIA,11/3/2019,0
GUAVIARE,11/3/2019,0
HUILA,11/3/2019,0
LA GUAJIRA,11/3/2019,7
MAGDALENA,11/3/2019,6
META,11/3/2019,2
NARIÑO,11/3/2019,2
NORTE SANTANDER,11/3/2019,2
PUTUMAYO,11/3/2019,0
QUINDIO,11/3/2019,1
RISARALDA,11/3/2019,4
SAN ANDRES,11/3/2019,0
SANTANDER,11/3/2019,3
SUCRE,11/3/2019,4
TOLIMA,11/3/2019,5
VALLE DEL CAUCA,11/3/2019,13
VAUPES,11/3/2019,1
VICHADA,11/3/2019,2
AMAZONAS,11/10/2019,0
ANTIOQUIA,11/10/2019,17
ARAUCA,11/10/2019,0
ATLANTICO,11/10/2019,23
BOGOTA,11/10/2019,25
BOLIVAR,11/10/2019,3
BOYACA,11/10/2019,2
CALDAS,11/10/2019,2
CAQUETA,11/10/2019,2
CASANARE,11/10/2019,0
CAUCA,11/10/2019,4
CESAR,11/10/2019,10
CHOCO,11/10/2019,3
CORDOBA,11/10/2019,11
CUNDINAMARCA,11/10/2019,11
GUAINIA,11/10/2019,0
GUAVIARE,11/10/2019,0
HUILA,11/10/2019,5
LA GUAJIRA,11/10/2019,12
MAGDALENA,11/10/2019,8
META,11/10/2019,3
NARIÑO,11/10/2019,5
NORTE SANTANDER,11/10/2019,3
PUTUMAYO,11/10/2019,1
QUINDIO,11/10/2019,0
RISARALDA,11/10/2019,1
SAN ANDRES,11/10/2019,0
SANTANDER,11/10/2019,7
SUCRE,11/10/2019,7
TOLIMA,11/10/2019,2
VALLE DEL CAUCA,11/10/2019,12
VAUPES,11/10/2019,0
VICHADA,11/10/2019,0
AMAZONAS,11/17/2019,1
ANTIOQUIA,11/17/2019,14
ARAUCA,11/17/2019,1
ATLANTICO,11/17/2019,14
BOGOTA,11/17/2019,18
BOLIVAR,11/17/2019,4
BOYACA,11/17/2019,0
CALDAS,11/17/2019,3
CAQUETA,11/17/2019,0
CASANARE,11/17/2019,1
CAUCA,11/17/2019,6
CESAR,11/17/2019,10
CHOCO,11/17/2019,2
CORDOBA,11/17/2019,8
CUNDINAMARCA,11/17/2019,5
GUAINIA,11/17/2019,0
GUAVIARE,11/17/2019,1
HUILA,11/17/2019,2
LA GUAJIRA,11/17/2019,12
MAGDALENA,11/17/2019,8
META,11/17/2019,2
NARIÑO,11/17/2019,5
NORTE SANTANDER,11/17/2019,9
PUTUMAYO,11/17/2019,1
QUINDIO,11/17/2019,2
RISARALDA,11/17/2019,0
SAN ANDRES,11/17/2019,1
SANTANDER,11/17/2019,6
SUCRE,11/17/2019,4
TOLIMA,11/17/2019,4
VALLE DEL CAUCA,11/17/2019,8
VAUPES,11/17/2019,0
VICHADA,11/17/2019,0
AMAZONAS,11/24/2019,0
ANTIOQUIA,11/24/2019,15
ARAUCA,11/24/2019,1
ATLANTICO,11/24/2019,16
BOGOTA,11/24/2019,27
BOLIVAR,11/24/2019,5
BOYACA,11/24/2019,1
CALDAS,11/24/2019,2
CAQUETA,11/24/2019,1
CASANARE,11/24/2019,1
CAUCA,11/24/2019,5
CESAR,11/24/2019,6
CHOCO,11/24/2019,3
CORDOBA,11/24/2019,10
CUNDINAMARCA,11/24/2019,7
GUAINIA,11/24/2019,1
GUAVIARE,11/24/2019,0
HUILA,11/24/2019,2
LA GUAJIRA,11/24/2019,5
MAGDALENA,11/24/2019,4
META,11/24/2019,2
NARIÑO,11/24/2019,3
NORTE SANTANDER,11/24/2019,1
PUTUMAYO,11/24/2019,0
QUINDIO,11/24/2019,1
RISARALDA,11/24/2019,2
SAN ANDRES,11/24/2019,0
SANTANDER,11/24/2019,4
SUCRE,11/24/2019,2
TOLIMA,11/24/2019,4
VALLE DEL CAUCA,11/24/2019,14
VAUPES,11/24/2019,0
VICHADA,11/24/2019,0
AMAZONAS,12/1/2019,1
ANTIOQUIA,12/1/2019,21
ARAUCA,12/1/2019,1
ATLANTICO,12/1/2019,15
BOGOTA,12/1/2019,18
BOLIVAR,12/1/2019,12
BOYACA,12/1/2019,4
CALDAS,12/1/2019,5
CAQUETA,12/1/2019,1
CASANARE,12/1/2019,1
CAUCA,12/1/2019,7
CESAR,12/1/2019,4
CHOCO,12/1/2019,1
CORDOBA,12/1/2019,7
CUNDINAMARCA,12/1/2019,1
GUAINIA,12/1/2019,0
GUAVIARE,12/1/2019,1
HUILA,12/1/2019,7
LA GUAJIRA,12/1/2019,9
MAGDALENA,12/1/2019,4
META,12/1/2019,2
NARIÑO,12/1/2019,5
NORTE SANTANDER,12/1/2019,5
PUTUMAYO,12/1/2019,0
QUINDIO,12/1/2019,0
RISARALDA,12/1/2019,1
SAN ANDRES,12/1/2019,0
SANTANDER,12/1/2019,3
SUCRE,12/1/2019,3
TOLIMA,12/1/2019,3
VALLE DEL CAUCA,12/1/2019,4
VAUPES,12/1/2019,0
VICHADA,12/1/2019,0
AMAZONAS,12/8/2019,0
ANTIOQUIA,12/8/2019,16
ARAUCA,12/8/2019,1
ATLANTICO,12/8/2019,8
BOGOTA,12/8/2019,21
BOLIVAR,12/8/2019,7
BOYACA,12/8/2019,5
CALDAS,12/8/2019,5
CAQUETA,12/8/2019,0
CASANARE,12/8/2019,1
CAUCA,12/8/2019,3
CESAR,12/8/2019,5
CHOCO,12/8/2019,6
CORDOBA,12/8/2019,4
CUNDINAMARCA,12/8/2019,5
GUAINIA,12/8/2019,0
GUAVIARE,12/8/2019,1
HUILA,12/8/2019,2
LA GUAJIRA,12/8/2019,6
MAGDALENA,12/8/2019,17
META,12/8/2019,5
NARIÑO,12/8/2019,7
NORTE SANTANDER,12/8/2019,2
PUTUMAYO,12/8/2019,1
